0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
,idn,(,),{,},int,char,float,str,void,epsilon,",",;,=,continue,break,return,while,for,if,else,!,&&,||,++,++,>,>=,<,<=,==,!=,+=,-=,*=,/=,%=,+,-,*,/,%,const,const,const,#
S,error,error,error,error,error,S -> func,S -> func,S -> func,error,S -> func,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
func,func -> type idn ( args ) funcBody,error,error,error,error,func -> type idn ( args ) funcBody,func -> type idn ( args ) funcBody,func -> type idn ( args ) funcBody,error,func -> type idn ( args ) funcBody,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
type,type -> epsilon,error,error,error,error,type -> int,type -> char,type -> float,error,type -> void,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
args,args -> type idn arg,error,args -> epsilon,error,error,args -> type idn arg,args -> type idn arg,args -> type idn arg,error,args -> type idn arg,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
funcBody,error,error,error,funcBody -> block,error,error,error,error,error,error,error,error,funcBody -> ;,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
arg,error,error,arg -> epsilon,error,error,error,error,error,error,error,error,"arg -> , type idn arg",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
block,error,error,error,block -> { defineStmts stmts },error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
defineStmts,defineStmts -> epsilon,defineStmts -> epsilon,defineStmts -> epsilon,error,defineStmts -> epsilon,defineStmts -> type idn defineStmt defineStmts,defineStmts -> type idn defineStmt defineStmts,defineStmts -> type idn defineStmt defineStmts,defineStmts -> epsilon,defineStmts -> type idn defineStmt defineStmts,error,defineStmts -> epsilon,defineStmts -> epsilon,error,defineStmts -> epsilon,defineStmts -> epsilon,defineStmts -> epsilon,defineStmts -> epsilon,defineStmts -> epsilon,defineStmts -> epsilon,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,defineStmts -> epsilon,defineStmts -> epsilon,defineStmts -> epsilon,error
stmts,stmts -> stmt stmts,stmts -> stmt stmts,error,error,stmts -> epsilon,error,error,error,stmts -> stmt stmts,error,error,error,error,error,stmts -> stmt stmts,stmts -> stmt stmts,stmts -> stmt stmts,stmts -> stmt stmts,stmts -> stmt stmts,stmts -> stmt stmts,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,stmts -> stmt stmts,stmts -> stmt stmts,stmts -> stmt stmts,error
defineStmt,error,error,error,error,error,error,error,error,error,error,error,defineStmt -> init vars ;,defineStmt -> init vars ;,defineStmt -> init vars ;,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
init,error,error,error,error,error,error,error,error,error,error,error,init -> epsilon,init -> epsilon,init -> = constValue,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
